"File","Line","Fragment","Classification"
"methodica-math-scale-01-01\script.js","2157","שאלה 1","excluded - inline comment"
"methodica-math-scale-01-01\script.js","2158","שאלה 2 (א+ב יחד","excluded - inline comment"
"methodica-math-scale-01-01\script.js","2159","שאלה 3","excluded - inline comment"
"methodica-math-scale-01-01\script.js","2160","שאלה 4","excluded - inline comment"
"methodica-math-scale-01-01\script.js","2161","שאלה 5","excluded - inline comment"
"methodica-math-scale-01-01\script.js","2168","מתוך 5","excluded - block comment"
"methodica-math-scale-01-01\script.js","2199","שאלה 1","excluded - inline comment"
"methodica-math-scale-01-01\script.js","2200","שאלה 2","excluded - inline comment"
"methodica-math-scale-01-01\script.js","2201","שאלה 3","excluded - inline comment"
"methodica-math-scale-01-01\script.js","2202","שאלה 4 (א+ב יחד","excluded - inline comment"
"methodica-math-scale-01-01\script.js","2235","א + ב","excluded - inline comment"
"methodica-math-scale-01-02\script.js","401","א, ב, ד","excluded - inline comment"
"methodica-math-scale-01-02\script.js","1060","שאלה 1","excluded - inline comment"
"methodica-math-scale-01-02\script.js","1061","שאלה 2","excluded - inline comment"
"methodica-math-scale-01-02\script.js","1062","שאלה 3","excluded - inline comment"
"methodica-math-scale-01-02\script.js","1063","שאלה 4 (א+ב יחד","excluded - inline comment"
"methodica-math-scale-01-05\script.js","41","קנה מידה של המפה","excluded - block comment"
"methodica-math-scale-01-05\script.js","445","רחפן א","excluded - inline comment"
"unit-js/20-xapi.js","67","שאלת-שיא","excluded - block comment"
"unit-js/40-resume.js","173","חזרה","excluded - block comment"
"unit-js/40-resume.js","215","חזרה","excluded - block comment"
